Sample	posterior	ESS(posterior)	likelihood	prior
0	-21646.63587169047	N	-21509.204968211503	-137.43090347896478
1000	-6235.974876799609	2.0	-6225.390346483466	-10.584530316142803
2000	-6028.989953806019	3.0	-6029.682226725621	0.6922729196023241
3000	-5908.631201219135	4.0	-5912.415243765659	3.7840425465245913
4000	-5832.184733623477	5.0	-5849.78323147214	17.598497848663108
5000	-5763.27427154272	6.0	-5783.772536367433	20.498264824712717
6000	-5603.346053310408	7.0	-5641.376059633233	38.03000632282548
7000	-5396.054835655759	8.0	-5429.640703474447	33.58586781868786
8000	-5226.163118492738	8.8	-5264.480110707955	38.31699221521631
9000	-5058.471933668868	2.7	-5089.88996322953	31.418029560661655
10000	-4981.329293235656	2.7	-5037.294188996893	55.96489576123709
11000	-4813.5708874359325	2.5	-4897.52528132593	83.95439388999787
12000	-4575.420495797229	2.4	-4673.440543777496	98.02004798026681
13000	-4402.256101446421	2.4	-4537.592599050079	135.3364976036586
14000	-4399.813752309324	2.5	-4511.095590162234	111.2818378529101
15000	-4393.194187444495	2.5	-4504.187216347381	110.99302890288605
16000	-4360.611953582924	2.4	-4486.439695988128	125.82774240520386
17000	-4325.284379800957	2.4	-4445.463779321055	120.17939952009797
18000	-4294.9252976771095	2.3	-4420.76187608704	125.83657840993028
19000	-4278.183629715757	2.4	-4416.3244531860955	138.14082347033843
20000	-4278.660464960534	2.4	-4414.618095414615	135.95763045408077
21000	-4251.011262845605	2.4	-4390.650270542928	139.63900769732288
22000	-4240.67567054551	2.5	-4368.2706380806985	127.59496753518874
23000	-4244.209627872508	2.6	-4372.105493143064	127.89586527055681
24000	-4228.6502725949895	2.6	-4364.639451010451	135.98917841546137
25000	-4235.904481872029	2.7	-4363.002026654248	127.09754478221907
26000	-4171.529958654132	2.7	-4335.425525535133	163.89556688099998
27000	-4153.934027291206	2.8	-4334.001036521235	180.06700923002848
28000	-4121.80077474126	2.8	-4320.276575228253	198.47580048699297
29000	-4114.9720866287635	3.0	-4321.881010474254	206.90892384549096
30000	-4057.7711128172527	3.1	-4322.912254655207	265.1411418379544
31000	-4060.6014493260473	3.1	-4318.944448451333	258.3429991252859
32000	-4050.1837671481326	3.2	-4315.462599024201	265.27883187606875
33000	-4051.007373648532	3.3	-4322.330982820743	271.3236091722108
34000	-4019.019827162261	3.3	-4310.506992975408	291.487165813147
35000	-4040.5945950744717	3.4	-4311.388207866947	270.7936127924749
36000	-4017.1751880080565	3.4	-4310.2702753316835	293.095087323627
37000	-4005.351877270153	3.5	-4292.942591135726	287.59071386557264
38000	-3993.4567214231593	3.5	-4275.4397090477105	281.9829876245511
39000	-4000.5307970289778	3.7	-4265.129907998877	264.5991109698989
