Model selection results for subset: 9f7dc38796807955c902a9000287bb76
Subset alignment stored here: ./analysis/phylofiles/9f7dc38796807955c902a9000287bb76.phy
This subset contains the following data_blocks: cmd, ef, its, tub
Number of columns in subset: 2359
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
HKY+I+G         | 6               | -4165.229       | 8342.494         | 8342.458        | 8377.054       
HKY+I+G+X       | 6               | -4165.26        | 8342.556         | 8342.52         | 8377.115       
HKY+I+X         | 5               | -4166.816       | 8343.657         | 8343.632        | 8372.462       
HKY+I           | 5               | -4166.853       | 8343.731         | 8343.706        | 8372.536       
TRN+I+G+X       | 7               | -4165.158       | 8344.364         | 8344.316        | 8384.679       
TRN+I+G         | 7               | -4165.2046      | 8344.457         | 8344.409        | 8384.771       
HKY+G+X         | 5               | -4167.4404      | 8344.906         | 8344.881        | 8373.711       
HKY+G           | 5               | -4167.478       | 8344.981         | 8344.956        | 8373.786       
TRN+I+X         | 6               | -4166.783       | 8345.603         | 8345.566        | 8380.162       
TRN+I           | 6               | -4166.8306      | 8345.697         | 8345.661        | 8380.257       
TRN+G+X         | 6               | -4167.4077      | 8346.852         | 8346.815        | 8381.411       
TRN+G           | 6               | -4167.455       | 8346.946         | 8346.91         | 8381.506       
GTR+I+G+X       | 10              | -4164.7017      | 8349.497         | 8349.403        | 8407.063       
GTR+I+G         | 10              | -4164.7446      | 8349.583         | 8349.489        | 8407.149       
GTR+I+X         | 9               | -4166.3013      | 8350.679         | 8350.603        | 8402.496       
GTR+I           | 9               | -4166.3584      | 8350.793         | 8350.717        | 8402.61        
GTR+G+X         | 9               | -4166.9556      | 8351.987         | 8351.911        | 8403.805       
GTR+G           | 9               | -4167.0117      | 8352.1           | 8352.023        | 8403.917       
HKY+X           | 4               | -4185.065       | 8378.146         | 8378.13         | 8401.194       
HKY             | 4               | -4185.1035      | 8378.224         | 8378.207        | 8401.271       
TRN+X           | 5               | -4185.031       | 8380.087         | 8380.062        | 8408.892       
TRN             | 5               | -4185.0796      | 8380.185         | 8380.159        | 8408.989       
GTR+X           | 8               | -4184.61        | 8385.281         | 8385.22         | 8431.348       
GTR             | 8               | -4184.6646      | 8385.391         | 8385.329        | 8431.457       
K80+I+G         | 3               | -4208.3394      | 8422.688         | 8422.679        | 8439.977       
K80+I           | 2               | -4209.8887      | 8423.782         | 8423.777        | 8435.31        
TRNEF+I+G       | 4               | -4208.2295      | 8424.476         | 8424.459        | 8447.523       
K80+G           | 2               | -4210.468       | 8424.94          | 8424.936        | 8436.468       
TRNEF+I         | 3               | -4209.764       | 8425.538         | 8425.528        | 8442.826       
TRNEF+G         | 3               | -4210.357       | 8426.724         | 8426.714        | 8444.012       
SYM+I+G         | 7               | -4207.376       | 8428.8           | 8428.752        | 8469.114       
SYM+I           | 6               | -4208.864       | 8429.764         | 8429.728        | 8464.323       
SYM+G           | 6               | -4209.501       | 8431.038         | 8431.002        | 8465.598       
JC+I+G          | 2               | -4222.557       | 8449.119         | 8449.114        | 8460.646       
JC+I            | 1               | -4224.0825      | 8450.167         | 8450.165        | 8455.931       
JC+G            | 1               | -4224.6235      | 8451.249         | 8451.247        | 8457.013       
K80             | 1               | -4228.0107      | 8458.023         | 8458.021        | 8463.787       
TRNEF           | 2               | -4227.9023      | 8459.81          | 8459.805        | 8471.337       
SYM             | 5               | -4227.078       | 8464.182         | 8464.156        | 8492.986       
JC              | 0               | -4242.104       | 8484.208         | 8484.208        | 8484.208       
