"","species","isolate","host","locality","year","collector","act","cmd","its","ef","tub"
"1","M. euphorbiicola","CMM4045;CCMF-CNPA 278","Jatropha gossypifolia","Brazil","2010","DJ Soares","MF457654","MF457660","KU058928","KU058898","MF457657"
"2","M. euphorbiicola","CMM4134;CCMF-CNPA 288T","Ricinus communis","Brazil","2010","DJ Soares","MF457655","MF457661","KU058936","KU058906","MF457658"
"3","M. euphorbiicola","CMM4145;CCMF-CNPA 289","Ricinus communis","Brazil","2010","DJ Soares","MF457656","MF457662","KU058937","KU058907","MF457659"
"4","M. phaseolina","BRIP 15497","Cajanus cajan","Lawes, Qld","1986","AH Wearing","MW592038","MW592118","MW591610","MW592199","MW592279"
"5","M. phaseolina","BRIP 22784","Melaleuca alternifolia","Dimbulah, Qld","1995","JE Drinnan","MW592039","MW592119","MW591611","MW592200","MW592280"
"6","M. phaseolina","BRIP 25702","Chamelaucium uncinatum","Gatton, Qld",NA,"PR Beal","MW592040","MW592120","MW591612","MW592201","MW592281"
"7","M. phaseolina","BRIP 25715","Capsicum annuum","Gumlu, Qld","1999","HL Martin","MW592041","MW592121","MW591613","MW592202","MW592282"
"8","M. phaseolina","BRIP 39354","Cannabis sativa","Mondure, Qld","2003","MJ Fuhlbohm","MW592044","MW592124","MW591616","MW592205","MW592285"
"9","M. phaseolina","BRIP 39282","Sisymbrium thellungii","Kingaroy, Qld",NA,"MJ Fuhlbohm","MW592042","MW592122","MW591614","MW592203","MW592283"
"10","M. phaseolina","BRIP 39285","Citrullus lanatus","Walkamin, Qld","2003","PR Trevorrow","MW592043","MW592123","MW591615","MW592204","MW592284"
"11","M. phaseolina","BRIP 52124","Gossypium sp.","Emerald, Qld","2008","S Allen","MW592045","MW592125","MW591617","MW592206","MW592286"
"12","M. phaseolina","BRIP 52343","Persea americana","Pemberton, WA","2008","JR Dean","MW592046","MW592126","MW591618","MW592207","MW592287"
"13","M. phaseolina","BRIP 5297","Allium cepa","Kalbar, Qld","1969","IK Hughes","MW592037","MW592117","MW591609","MW592198","MW592278"
"14","M. phaseolina","BRIP 55168","Vigna radiata","Bioela, Qld","1996","MJ Fuhlbohm","MW592048","MW592128","MW591620","MW592209","MW592289"
"15","M. phaseolina","BRIP 61469","Cucumis melo","Clare, Qld","2014","S Subramaniam, PR Trevorrow, KRE Grice","MW592049","MW592129","MW591621","MW592210","MW592290"
"16","M. phaseolina","BRIP 64556","Sorghum bicolor","Qld SM",NA,"Thompson","MW592050","MW592130","-","MW592211","MW592291"
"17","M. phaseolina","BRIP 64557","S. Bicolor","Qld SM",NA,"Thompson","MW592051","MW592131","MW591622","MW592212","MW592292"
"18","M. phaseolina","BRIP 64764","Cucurbita moschata","Bowen, Qld","2016","D Abbott","MW592052","MW592132","MW591623","MW592213","MW592293"
"19","M. phaseolina","BRIP 68352","Fragaria × ananassa","Wamuran, Qld","2007","SM Thompson","MW592053","MW592133","MW591624","MW592214","MW592294"
"20","M. phaseolina","BRIP 69721","Crotalaria juncea","Lakeland Downs, Qld","2019","M Arnold, A Myrteza, KRE Grice","MW592054","MW592134","MW591625","MW592215","MW592295"
"21","M. phaseolina","BRIP 70703","Cyamopsis tetragonoloba","Dimbulah, Qld","2018","T Matchett","MW592107","MW592135","MW591683","MW592216","MW592296"
"22","M. phaseolina","BRIP 70724","V. radiata","Brookstead, Qld","2019","DL Adorada","MW592056","MW592189","MW591682","MW592266","MW592353"
"23","M. phaseolina","BRIP 70726","Glycine max","Qld","2019","DL Adorada","MW592057","MW592137","MW591628","MW592217","MW592299"
"24","M. phaseolina","BRIP 70730","Helianuthus annuus","Jondaryn, Qld","2019","DL Adorada","MW592109","MW592191","MW591630","MW592268","MW592355"
"25","M. phaseolina","BRIP 70780","S. bicolor","Inverell, NSW","2019","DL Adorada, N Vaghefi","MW592111","MW592188","MW591681","MW592265","MW592352"
"26","M. phaseolina","BRIP 71602","S. bicolor","Inverell, NSW","2019","DL Adorada, N Vaghefi","MW592115","MW592196","MW591686","MW592276","MW592358"
"27","M. phaseolina","BRIP 71606","Arachis hypogaea","Bundaberg, Qld","2018","L Kelly","MW592112","MW592142","MW591634","MW592273","MW592304"
"28","M. phaseolina","BRIP 71607","C. cajan","Pampas, Qld","2018","L Kelly","MW592113","MW592194","MW591635","MW592274","MW592351"
"29","M. phaseolina","BRIP 71608","Sesamum indicum","Warra, Qld","2018","L Kelly","MW592114","MW592195","MW591636","MW592275","MW592357"
"30","M. phaseolina","BRIP 71609","G. max","Grafton, NSW","2018","N Moore","MW592062","MW592143","MW591637","MW592221","MW592305"
"31","M. phaseolina","BRIP 71610","V. radiata","Kincora, Qld","2020","N Vaghefi","MW592063","MW592144","MW591638","MW592222","MW592306"
"32","M. phaseolina","BRIP 71611","V. radiata","Kincora, Qld","2020","N Vaghefi","MW592064","MW592145","MW591639","MW592223","MW592307"
"33","M. phaseolina","BRIP 71612","Cicer arietinum","Warwick, NSW","2020","S Bithell","MW592065","MW592146","MW591640","MW592224","MW592308"
"34","M. phaseolina","BRIP 71613","C. arietinum","Piallamore,","2020","J Van Leur","MW592066","MW592147","MW591641","MW592225","MW592309"
"35","M. phaseolina","BRIP 71614","V. radiata","Burroway,","2020","J Van Leur","MW592067","MW592148","MW591642","MW592226","MW592310"
"36","M. phaseolina","BRIP 71615","V. radiata","Burroway,","2020","J Van Leur","MW592068","MW592149","MW591643","MW592227","MW592311"
"37","M. phaseolina","BRIP 71616","V. radiata","Burroway,","2020","J Van Leur","MW592069","MW592150","MW591644","MW592228","MW592312"
"38","M. phaseolina","BRIP 71617","V. radiata","Burroway,","2020","J Van Leur","MW592070","MW592151","MW591645","MW592229","MW592313"
"39","M. phaseolina","BRIP 71618","V. radiata","Burroway,","2020","J Van Leur","MW592071","MW592152","MW591646","MW592230","MW592314"
"40","M. phaseolina","BRIP 71619","V. radiata","Burroway,","2020","J Van Leur","MW592072","MW592153","MW591647","MW592231","MW592315"
"41","M. phaseolina","BRIP 71620","V. radiata","Edgeroi, NSW","2020","J Van Leur","MW592073","MW592154","MW591648","MW592232","MW592316"
"42","M. phaseolina","BRIP 71621","V. radiata","Edgeroi, NSW","2020","J Van Leur","MW592074","MW592155","MW591649","MW592233","MW592317"
"43","M. phaseolina","BRIP 71622;","C. arietinum","Kununurra, WA","2018","M Barbetti","MW592075","MW592156","MW591650","MW592234","MW592318"
"44","M. phaseolina","BRIP 71623;","C. arietinum","Kununurra, WA","2018","M Barbetti","MW592076","MW592157","MW591651","MW592235","MW592319"
"45","M. phaseolina","BRIP 71624;","C. arietinum","Kununurra, WA","2018","M Barbetti","MW592077","MW592158","MW591652","MW592236","MW592320"
